MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS,__PITCH,__YAW,__ROLL,__PROGRADE_X,__PROGRADE_Y,__PROGRADE_Z,__NORMAL_X,__NORMAL_Y,__NORMAL_Z,THROTTLE
-4.92,0,0,108.493225192651,0.00264460630490646,5.71333142608544E-05,0,1.23775539198903,3.90260947474054E-11,51.0744094848633,0.000269964301537584,94.7913076765835,-6362518.43217144,0.00151895091403276,359.993408203125,180.001113891602,-1,8.94069671630859E-08,6.3776969909668E-06,-9.13143157958984E-05,1.00000023841858,2.19047069549561E-06,1
-4.82,0,0,108.493222303689,0.00262013015650556,5.74002259550168E-05,0,1.25582913224504,3.92183569927438E-11,51.0744094848633,0.000267463976683757,94.7913069557399,-6362518.43240229,0.00151759781874716,359.993408203125,180.001129150391,-1,1.19209289550781E-07,6.25848770141602E-06,-2.28583812713623E-05,1.00000011920929,4.09781932830811E-07,1
-4.72,0,0,108.493218422867,0.00261942998564655,6.49904775528907E-05,0,1.42113740309435,3.91659102936179E-11,51.0744094848633,0.00026737435848645,94.7913069203496,-6362518.43192992,0.00151049741543829,359.993408203125,180.00114440918,-1,1.19209289550781E-07,6.25848770141602E-06,1.79409980773926E-05,1,-4.09781932830811E-07,1
-4.62,0,0,108.493223604746,0.00263110837603239,6.34655230493419E-05,0,1.38313004543814,3.92141234616036E-11,51.0744094848633,0.00026857094803745,94.7913074698299,-6362518.43253179,0.00151245179586113,359.993408203125,180.001129150391,-1,5.96046447753906E-08,6.31809234619141E-06,-0.000157922506332397,1.00000011920929,3.49432229995728E-06,1
-4.52,0,0,108.493221104145,0.00264649660616625,5.9376548152259E-05,0,1.28521580308116,3.92334476993279E-11,51.0744094848633,0.000270152310577032,94.791307112202,-6362518.43206492,0.00151880853809416,359.993408203125,180.001129150391,-1,8.94069671630859E-08,6.31809234619141E-06,9.32514667510986E-05,0.999999940395355,-2.00420618057251E-06,1
-4.42,0,0,108.493218229152,0.00262403219600864,7.55953819005321E-05,0,1.65013686104729,3.91814133306641E-11,51.0744094848633,0.000267815396227888,94.791306886822,-6362518.4317302,0.00150740228127688,359.993408203125,180.001129150391,-1,1.19209289550781E-07,6.25848770141602E-06,4.61935997009277E-05,0.999999940395355,-8.5681676864624E-07,1
-4.32,0,0,108.493218229152,0.0026293596639881,5.82765876425356E-05,0,1.26775894958776,3.93899825190525E-11,51.0744094848633,0.000268404612143058,94.7913071503863,-6362518.43146275,0.00150142528582364,359.993408203125,180.00114440918,-1,8.94069671630859E-08,6.31809234619141E-06,-9.956955909729E-05,0.999999940395355,2.02655792236328E-06,1
-4.22,0,0,108.493221949786,0.00263049267042069,6.43164699872069E-05,0,1.4010438735417,3.9384440397203E-11,51.0744094848633,0.000268505950430153,94.7913071932271,-6362518.43215402,0.0015207378892228,359.993408203125,180.001129150391,-1,5.96046447753906E-08,6.31809234619141E-06,-0.000172257423400879,1.00000023841858,3.68803739547729E-06,1
-4.12,0,0,108.493219816126,0.00262875287431028,5.92646697658688E-05,0,1.29154237175915,3.9129815629397E-11,51.0744094848633,0.000268340386355703,94.7913069846109,-6362518.43210196,0.00150796119123697,359.993408203125,180.001129150391,-1,5.96046447753906E-08,6.31809234619141E-06,-6.905198097229E-05,1,1.48266553878784E-06,1
-4.02,0,0,108.493223057128,0.00263716213003335,5.98215661636325E-05,0,1.30013933848237,3.92357094855269E-11,51.0744094848633,0.000269197942998289,94.7913075061515,-6362518.4323166,0.00151045760139823,359.993408203125,180.001113891602,-1,8.94069671630859E-08,6.31809234619141E-06,-8.19563865661621E-06,1.00000011920929,-2.98023223876953E-08,1
-3.92,0,0,108.493220170029,0.00262669842982914,5.25063189629246E-05,0,1.14469736517064,3.9347959413806E-11,51.0744094848633,0.000268145250743146,94.7913070460781,-6362518.43205236,0.00150228198617697,359.993408203125,180.00114440918,-1,8.94069671630859E-08,6.31809234619141E-06,-0.000102102756500244,1,2.05636024475098E-06,1
-3.82,0,0,108.493223148398,0.00264386572383128,5.96089154176761E-05,0,1.29278169262632,3.94883978563516E-11,51.0744094848633,0.000269883082978595,94.7913075340912,-6362518.43251627,0.00151700200513005,359.993408203125,180.001113891602,-1,8.94069671630859E-08,6.31809234619141E-06,-5.0663948059082E-07,1.00000011920929,-2.38418579101563E-07,1
-3.72,0,0,108.493223342113,0.00263854542518844,6.25980068109636E-05,0,1.35893555895447,3.93763307070089E-11,51.0744094848633,0.000269332645416398,94.7913074158132,-6362518.43198298,0.00151503900997341,359.993408203125,180.001129150391,-1,8.94069671630859E-08,6.31809234619141E-06,-2.60770320892334E-05,0.999999940395355,7.22706317901611E-07,1
-3.62,0,0,108.493223993108,0.0026340294821988,7.17881450916039E-05,0,1.56321552330962,3.91437266858517E-11,51.0744094848633,0.000268847469783395,94.791307291016,-6362518.4327347,0.00152040331158787,359.993408203125,180.001113891602,-1,1.49011611938477E-07,6.3776969909668E-06,8.34465026855469E-06,1,-3.42726707458496E-07,1
-3.52,0,0,108.493218879215,0.002624134231587,5.14406193309668E-05,0,1.12210923839691,3.92928255406844E-11,51.0744094848633,0.000267885531570755,94.791307198815,-6362518.43193606,0.00150654558092356,359.993408203125,180.001129150391,-1,5.96046447753906E-08,6.25848770141602E-06,6.01708889007568E-05,1.00000011920929,-1.52736902236938E-06,1
-3.42,0,0,108.493223628029,0.00263364312309173,6.97407434608925E-05,0,1.51926332288186,3.92997704747116E-11,51.0744094848633,0.000268813620323272,94.7913073981181,-6362518.43290189,0.00152075488585979,359.993408203125,180.001129150391,-1,1.49011611938477E-07,6.3776969909668E-06,-2.92360782623291E-05,1,6.55651092529297E-07,1
-3.32,0,0,108.493222510442,0.00260558789490825,5.82584892958597E-05,0,1.27952697020814,3.92143710646337E-11,51.0744094848633,0.000265976839727955,94.7913075303659,-6362518.43164896,0.00150701380334795,359.993408203125,180.001113891602,-1,1.19209289550781E-07,6.25848770141602E-06,-0.000131100416183472,1.00000011920929,3.13669443130493E-06,1
-3.22,0,0,108.493218193762,0.00263438568309143,6.22649880502701E-05,0,1.35438094903041,3.89765255529144E-11,51.0744094848633,0.000268908603175078,94.7913065552711,-6362518.43219244,0.00150624779053032,359.993408203125,180.001129150391,-1,8.94069671630859E-08,6.31809234619141E-06,-7.06315040588379E-05,1.00000011920929,1.37835741043091E-06,1
-3.12,0,0,108.493222989142,0.00263359260759838,6.82661644696872E-05,0,1.48313796920417,3.90569631079625E-11,51.0744094848633,0.000268812407966834,94.7913076188415,-6362518.43124628,0.00151500210631639,359.993408203125,180.001113891602,-1,8.94069671630859E-08,6.31809234619141E-06,-0.000121235847473145,1.00000011920929,2.83867120742798E-06,1
-3.02,0,0,108.493220626377,0.00262270210130138,8.40480187830824E-05,0,1.83550865409733,3.92049889576894E-11,51.0744094848633,0.000267653249807154,94.7913070125505,-6362518.43150951,0.00151587871368974,359.993408203125,180.001129150391,-1,2.08616256713867E-07,6.31809234619141E-06,6.90817832946777E-05,1.00000011920929,-1.49756669998169E-06,1
-2.92,819.873901367188,819.873901367188,108.493223604746,0.00262879777280053,4.59423056236877E-05,16.0527586542229,1.00104623492927,3.91813150781677E-11,51.0737075805664,0.000268372194341282,94.7914128489792,-6362518.43223411,0.00150788750033826,359.993408203125,180.001113891602,-1,8.94069671630859E-08,6.31809234619141E-06,5.81145286560059E-06,1,-3.12924385070801E-07,1
-2.82,819.873901367188,819.873901367188,108.493220009841,0.00265628064749802,6.77079364424854E-05,16.0527586542229,1.45677960558038,3.90432611322755E-11,51.0737075805664,0.000271131202453034,94.791411280632,-6362518.43067443,0.00151108135469258,359.993408203125,180.001129150391,-1,1.78813934326172E-07,6.43730163574219E-06,0.000112682580947876,1.00000011920929,-2.92807817459106E-06,1
-2.72,819.873901367188,819.873901367188,108.493222977035,0.00262353715067342,6.6688814844634E-05,16.0527586542229,1.45483779091445,3.9367352587002E-11,51.0737075805664,0.000267789496319892,94.7914126552641,-6362518.43145299,0.00152075488585979,359.993408203125,180.001129150391,-1,5.96046447753906E-08,6.31809234619141E-06,9.73045825958252E-05,1,-2.41398811340332E-06,1
