MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-6.98,0,0,102.255106795579,0.00313702957263494,3.62496957935704E-06,0,0.0697386632728123,5.75063111187173E-11,0.000320305598393134,91.4250154057518,-6362518.44947387
-6.78,0,0,102.255107745528,0.00316532330784884,9.03098727531557E-06,0,0.167123983917173,5.74332125781499E-11,0.000323193424151214,91.4250151282176,-6362518.44923984
-6.58,0,0,102.255107745528,0.00312997685556482,2.30621567226735E-06,0,0.0455362289706912,5.76356414866669E-11,0.000319585611691764,91.4250148572028,-6362518.44952421
-6.38,0,0,102.255106795579,0.00313651572390234,5.57914226196164E-06,0,0.104907752219009,5.76630650890032E-11,0.000320252847814118,91.4250155435875,-6362518.44934301
-6.18,0,0,102.255109099671,0.00314431262070001,1.00251752791203E-05,0,0.185111657999252,5.7450683865251E-11,0.000321047819852538,91.4250156087801,-6362518.44917418
-5.98,0,0,102.255107252859,0.00314920508143558,1.63302042495937E-05,0,0.298758119233655,5.74337533478573E-11,0.00032154467021428,91.4250157894567,-6362518.44965
-5.78,0,0,102.255107745528,0.00317535696175722,5.3735844738494E-06,0,0.0982790663782613,5.72347467123249E-11,0.000324218760624717,91.4250149959698,-6362518.44962418
-5.58,0,0,102.255109062418,0.00314498403797801,5.26021261390681E-06,0,0.0955973088114883,5.74729829940756E-11,0.000321117552630312,91.4250159598887,-6362518.44970796
-5.38,0,0,102.255106795579,0.00312623700145465,1.43728667648366E-05,0,0.265703010690026,5.73059075695461E-11,0.000319200465355607,91.4250154048204,-6362518.4490091
-5.18,0,0,102.255108201876,0.00316879703709656,2.4127863591361E-07,0,0.00790981566051839,5.73652524476897E-11,0.000323549425274905,91.4250151561573,-6362518.44956839
-4.98,0,0,102.255109099671,0.00316127624062514,4.29231819458177E-06,0,0.0742164446029556,5.79480520006137E-11,0.000322781221939294,91.4250156497583,-6362518.4497036
-4.78,0,0,102.255108201876,0.00316698028553116,1.24896465641925E-06,0,0.0196043223210922,5.72800846590319E-11,0.000323363905295082,91.4250153107569,-6362518.44959768
-4.58,0,0,102.255107745528,0.00315458387960547,1.54463023244256E-05,0,0.279950919926567,5.75316137769544E-11,0.000322094336070222,91.4250157577917,-6362518.45000766
-4.38,0,0,102.255108201876,0.00315092381607175,8.38825483155141E-06,0,0.149254342849822,5.71977685369259E-11,0.000321723346019098,91.4250151133165,-6362518.44975707
-4.18,0,0,102.255107252859,0.00315427629415932,1.61125927380536E-05,0,0.293988694792855,5.75422961749124E-11,0.000322062587315486,91.4250154979527,-6362518.44971245
-3.98,0,0,102.255107288249,0.00318245223139792,1.22869928988322E-06,0,0.0251935470584868,5.7343313455943E-11,0.000324943664281818,91.4250157633796,-6362518.44952396
-3.78,0,0,102.255108201876,0.00316202206249407,2.18115569252152E-05,0,0.395813256075297,5.74155740371824E-11,0.00032284999190324,91.4250160539523,-6362518.44993952
-3.58,0,0,102.25510860607,0.00315166728070213,8.12919273317818E-06,0,0.151441889027991,5.75626838966445E-11,0.000321799323955929,91.4250161880627,-6362518.44928978
-3.38,0,0,102.255109099671,0.00316700710822422,5.54196538960207E-06,0,0.0985315527287199,5.72061859335563E-11,0.000323366173006434,91.4250148972496,-6362518.44956084
-3.18,0,0,102.255107745528,0.00316584744167131,6.86860029958145E-06,0,0.126121165764106,5.75590529215366E-11,0.000323247498954515,91.4250148655847,-6362518.44932375
-2.98,0,0,102.255109099671,0.00317252893895214,1.95725548342963E-06,0,0.0379013952133481,5.74085601678084E-11,0.00032393041215073,91.4250148832798,-6362518.44949629
-2.78,435.509521484375,435.509521484375,102.255109555088,0.00317390548944025,1.65004730796431E-05,16.270570460131,0.299092618487623,5.77309265574787E-11,0.000324066643315746,91.4250162048265,-6362518.4497334
-2.58,435.509521484375,435.509521484375,102.255109099671,0.00317376545476295,1.17717807511374E-05,16.270570460131,0.213195013810579,5.77123635096479E-11,0.000324054497468751,91.4250168483704,-6362518.4497627
-2.38,435.509552001953,435.509552001953,102.255111439154,0.00316446401248839,4.45361902917265E-06,16.2705716002631,0.0838773881302375,5.77447954011675E-11,0.000323106681321406,91.4250184763223,-6362518.44938999
-2.18,435.509552001953,435.509552001953,102.255115111358,0.00317810573443105,1.06557373829564E-05,16.2705716002631,0.192954038636957,5.81355018083235E-11,0.000324498067698187,91.4250222342089,-6362518.44925952
-1.98,435.509552001953,435.509552001953,102.255118364468,0.00317975548389215,5.89080544470891E-06,16.2705716002631,0.109707040768652,5.79991449432668E-11,0.000324667787481303,91.4250253168866,-6362518.44934254
